season_number,episode_number,episode_airdate,episode_title,episode_type,episode_maxi_challenge_type,lipsync_song,song_author
4,1,2012-01-30,RuPocalypse Now!,Competition,Sewing,Toxic ,Britney Spears
4,2,2012-02-06,WTF!: Wrestling's Trashiest Fighters,Competition,Acting,Bad Girls ,Donna Summer
4,3,2012-02-13,Glamazons vs Champions,Competition,Commercial,This Will Be (An Everlasting Love) ,Natalie Cole
4,4,2012-02-20,Queens Behind Bars,Competition,Acting,Trouble ,Pink
4,5,2012-02-27,Snatch Game,Competition,Snatch Game,Vogue ,Madonna
4,6,2012-03-05,Float Your Boat,Competition,Sewing,Born This Way ,Lady Gaga
4,7,2012-03-12,Dragazines,Competition,Personal Branding,Mi Vida Loca (My Crazy Life) ,Pam Tillis
4,8,2012-03-19,Frenemies,Competition,Singing,It's Raining Men (The Sequel) ,Martha Wash and RuPaul
4,9,2012-03-26,Frock the Vote!,Competition,Acting,I've Got to Use My Imagination ,Gladys Knight & The Pips
4,10,2012-04-02,DILFs: Dads I'd Like To Frock,Competition,Makeover,(You Make Me Feel Like) A Natural Woman ,Aretha Franklin
4,11,2012-04-09,The Fabulous Bitch Ball,Competition,Ball,No One Else on Earth ,Wynonna Judd
4,12,2012-04-16,RuPaul Rewind,Recap,,,
4,13,2012-04-23,The Final Three,Finale,,Glamazon,RuPaul
4,14,2012-04-30,Reunited,Reunion,,,
5,1,2013-01-28,RuPaullywood or Bust,Competition,Sewing,Party in the U.S.A. ,Miley Cyrus
5,2,2013-02-04,Lip Synch Eleganza Extravaganza,Competition,Lipsync,Only Girl (In the World) ,Rihanna
5,3,2013-02-11,Draggle Rock,Competition,Acting,When I Grow Up ,The Pussycat Dolls
5,4,2013-02-18,Black Swan: Why It Gotta Be Black?,Competition,Dancing,Oops!... I Did It Again ,Britney Spears
5,4,2013-02-18,Black Swan: Why It Gotta Be Black?,Competition,Dancing,Oops!... I Did It Again ,Britney Spears
5,5,2013-02-25,Snatch Game,Competition,Snatch Game,Take Me Home ,Cher
5,6,2013-03-04,Can I Get An Amen?,Competition,Singing,I'm So Excited ,The Pointer Sisters
5,7,2013-03-11,RuPaul Roast,Competition,Comedy,Whip My Hair ,Willow Smith
5,8,2013-03-18,Scent of a Drag Queen,Competition,Commercial,Ain't Nothin' Goin' On but the Rent ,Gwen Guthrie
5,9,2013-04-01,Drama Queens,Competition,Acting,Cold Hearted ,Paula Abdul
5,10,2013-04-08,Super Troopers,Competition,Makeover,Two to Make it Right ,Seduction
5,11,2013-04-15,Sugar Ball,Competition,Ball,Malambo No. 1 ,Yma Sumac
5,12,2013-04-22,"The Final Three, Hunty",Competition,Music Video,The Beginning,RuPaul
5,13,2013-04-29,Countdown to the Crown,Recap,,,
5,14,2013-05-06,Reunited!,Reunion,,,
6,1,2014-02-24,RuPauls Big Opening,Competition,Sewing,Express Yourself,Madonna
6,2,2014-03-03,RuPauls Big Opening Part 2,Competition,Sewing,Turn the Beat Around,Vicki Sue Robinson
6,3,2014-03-10,Scream Queens,Competition,Acting,Shake It Up,Selena Gomez
6,4,2014-03-17,Shade: The Rusical,Competition,Musical,I'm Every Woman,Chaka Khan
6,5,2014-03-24,Snatch Game,Competition,Snatch Game,Head to Toe,Lisa Lisa & Cult Jam
6,6,2014-03-31,Oh No She Betta Don't,Competition,Singing,Whatta Man,Salt-n-Pepa with En Vogue
6,7,2014-04-07,Glamazon by Colorevolution,Competition,Commercial,Point of No Return,Exposé
6,8,2014-04-07,Drag Queens of Comedy,Competition,Comedy,Stupid Girls,Pink
6,9,2014-04-14,Drag Queens of Talk,Competition,Talk Show,Vibeology,Paula Abdul
6,10,2014-04-21,Drag My Wedding,Competition,Makeover,Think,Aretha Franklin
6,11,2014-04-28,Glitter Ball,Competition,Ball,Stronger (What Doesn't Kill You),Kelly Clarkson
6,12,2014-05-05,Sissy That Walk!,Competition,Music Video,Sissy That Walk,RuPaul
6,13,2014-05-12,Countdown To The Crown,Recap,,,
6,14,2014-05-19,The Finale,Finale,,,
7,1,2015-03-02,Born Naked,Competition,Sewing,Geronimo,RuPaul ft. Lucian Piane
7,2,2015-03-09,Glamazonian Airways,Competition,Lipsync,Twist of Fate,Olivia Newton-John
7,3,2015-03-16,ShakesQueer,Competition,Acting,I Was Gonna Cancel,Kylie Minogue
7,4,2015-03-23,Spoof! (There It Is),Competition,Acting,Dreaming,Blondie
7,5,2015-03-30,The DESPY Awards,Competition,Comedy,Lovergirl,Teena Marie
7,6,2015-04-06,Ru Hollywood Stories,Competition,Acting,Break Free,Ariana Grande ft. Zedd
7,7,2015-04-13,Snatch Game,Competition,Snatch Game,No More Lies,Michel'le
7,8,2015-04-20,Conjoined Queens,Competition,Makeover,I Think We're Alone Now,Tiffany
7,9,2015-04-27,Divine Inspiration,Competition,Acting,Really Don't Care,Demi Lovato ft. Cher Lloyd
7,10,2015-05-04,Prancing Queens,Competition,Dancing,Show Me Love,Robin S.
7,11,2015-05-11,"Hello, Kitty Girls!",Competition,Ball,Roar,Katy Perry
7,12,2015-05-18,And The Rest Is Drag,Competition,Music Video,Born Naked,RuPaul ft. Clairy Browne
7,13,2015-05-25,Countdown to the Crown,Recap,,,
7,14,2015-06-01,The Grand Finale,Finale,,,
8,1,2016-03-07,Keeping it 100!,Competition,Sewing,Applause ,Lady Gaga
8,2,2016-03-14,Bitch Perfect,Competition,Lipsync,I Will Survive ,Gloria Gaynor
8,2,2016-03-14,Bitch Perfect,Competition,Lipsync,I Will Survive ,Gloria Gaynor
8,3,2016-03-21,RuCo's Empire,Competition,Acting,Mesmerized (Freemasons radio edit) ,Faith Evans
8,4,2016-03-28,New Wave Queens,Competition,Singing,Call Me ,Blondie
8,5,2016-04-04,Supermodel Snatch Game,Competition,Snatch Game,Causing a Commotion ,Madonna
8,6,2016-04-11,Wizards of Drag,Competition,Makeover,I Love It ,Icona Pop ft. Charli XCX
8,7,2016-04-18,Shady Politics,Competition,Acting,And I Am Telling You I'm Not Going ,Jennifer Holliday
8,8,2016-04-25,RuPaul Book Ball,Competition,Ball,You Make Me Feel (Mighty Real) ,Sylvester
8,9,2016-05-02,The Realness,Competition,Music Video,The Realness ,RuPaul
8,10,2016-05-16,Grand Finale,Finale,,,
9,1,2017-03-24,Oh. My. Gaga!,Competition,Runway,,
9,2,2017-03-31,She Done Already Done Brought It On,Competition,Dancing,Love Shack ,The B-52's
9,3,2017-04-07,Draggily Ever After,Competition,Sewing,Holding Out for a Hero ,Bonnie Tyler
9,4,2017-04-14,Good Morning Bitches!,Competition,Talk Show,I Wanna Go ,Britney Spears
9,5,2017-04-21,Reality Stars: The Musical,Competition,Lipsync,Woman Up ,Meghan Trainor
9,6,2017-04-28,Snatch Game,Competition,Snatch Game,Music ,Madonna
9,7,2017-05-05,9021-HO,Competition,Acting,Finally ,CeCe Peniston
9,8,2017-05-12,RuPaul Roast,Competition,Comedy,Baby I'm Burning ,Dolly Parton
9,9,2017-05-19,Your Pilot's On Fire,Competition,Acting,Greedy ,Ariana Grande
9,10,2017-05-26,Makeovers: Crew Better Work,Competition,Makeover,Cool for the Summer ,Demi Lovato
9,11,2017-06-02,Gayest Ball Ever,Competition,Ball,Macho Man ,Village People
9,12,2017-06-09,Category Is,Competition,Music Video,U Wear It Well ,RuPaul
9,13,2017-06-16,Reunited,Reunion,,,
9,14,2017-06-23,Grand Finale,Finale,,Stronger ,Britney Spears
9,14,2017-06-23,Grand Finale,Finale,,So Emotional ,Whitney Houston
9,14,2017-06-23,Grand Finale,Finale,,It's Not Right But It's Okay(Thunderpuss Remix) ,Whitney Houston
10,1,2018-03-22,10s Across The Board,Competition,Sewing,Ain't No Other Man ,Christina Aguilera
10,2,2018-03-29,PharmaRusical,Competition,Lipsync,Best of My Love,The Emotions
10,3,2018-04-05,Tap That App,Competition,Commercial,Celebrity Skin,Hole
10,4,2018-04-12,The Last Ball on Earth,Competition,Ball,Pound the Alarm,Nicki Minaj
10,5,2018-04-19,The Bossy Rossy Show,Competition,Comedy,Man! I Feel Like a Woman!,Shania Twain
10,6,2018-04-26,Drag Con Panel Extravaganza,Competition,Personal Branding,I'm Coming Out,Diana Ross
10,7,2018-05-03,Snatch Game,Competition,Snatch Game,Cut To The Feeling ,Carly Rae Jepsen
10,8,2018-05-10,The Unauthorized Rusical,Competition,Lipsync,Groove Is in the Heart ,Deee-Lite
10,9,2018-05-17,Breastworld,Competition,Acting,New Attitude ,Patti Labelle
10,10,2018-05-24,Social Media Kings Into Queens,Competition,Makeover,Good As Hell ,Lizzo
10,11,2018-06-07,Evil Twins,Competition,Personal Branding,Nasty Girl ,Vanity 6
10,12,2018-06-14,American,Competition,Music Video,Call Me Mother ,RuPaul
10,13,2018-06-21,Queens Reunited,Reunion,,,
10,14,2018-06-28,Grand Finale,Finale,,Nasty ,Janet Jackson
10,14,2018-06-28,Grand Finale,Finale,,If ,Janet Jackson
10,14,2018-06-28,Grand Finale,Finale,,Bang Bang ,"Jessie J, Ariana Grande,and Nicki Minaj"
11,1,2019-02-28,Whatcha Unpackin?,Competition,Sewing,The Best of Both Worlds ,Hannah Montana
11,2,2019-03-07,"Good God Girl, Get Out",Competition,Acting,Work Bitch ,Britney Spears
11,3,2019-03-14,Diva Worship,Competition,Acting,Waiting for Tonight (Hex Hector Mix) ,Jennifer Lopez
11,4,2019-03-21,Trump: The Rusical,Competition,Musical,Living in America ,James Brown
11,5,2019-03-28,Monster Ball,Competition,Ball,I'm Your Baby Tonight ,Whitney Houston
11,6,2019-04-04,The Dragylmpics,Competition,Dancing,Last Dance ,Donna Summer
11,7,2019-04-11,From Farm to Runway,Competition,Sewing,Strut ,Sheena Easton
11,8,2019-04-18,Snatch Game At Sea,Competition,Snatch Game,Sorry Not Sorry ,Demi Lovato
11,9,2019-04-25,L.A.D.P.!,Competition,Acting,Hood Boy ,Fantasia Barrino
11,10,2019-05-02,Dragracadabra,Competition,Acting,No More Drama ,Mary J. Blige
11,11,2019-05-09,Bring Back My Queens!,Competition,Makeover,No Scrubs ,TLC
11,12,2019-05-16,Queens Everywhere,Competition,Music Video,Pride: A Deeper Love ,Aretha Franklin
11,13,2019-05-23,Reunited,Reunion,,,
11,14,2019-05-30,Grand Finale,Finale,,Bootylicious ,Destiny’s Child
11,14,2019-05-30,Grand Finale,Finale,,SOS ,Rihanna
11,14,2019-05-30,Grand Finale,Finale,,The Edge of Glory ,Lady Gaga
